organisat	governorate	district	numofchild	diseases	gaps	geo	ShelterType	population	protection	individual
NRC	Dahuk	Zakho	56	Chronic	Water	36.8549239,42.94268743	None Open Air	3300	no	78
NRC	Dahuk	Zakho	56	Diarrhea	Water	37.0934714,42.4322712	None Open Air	3300	no	172
NRC	Dahuk	Zakho	70	Chronic	Water	37.1383475,42.6710038	School	780	no	13
NRC	Dahuk	Zakho	65	Chronic	Water	37.1383475,42.6710038	School	1020	no	69
NRC	Dahuk	Zakho	57	Chronic	Food	37.1405526,42.690525	None Open Air	3000	no	42
NRC	Dahuk	Zakho	69	Chronic	Food	37.1393291,42.6850949	School	360	no	31
NRC	Dahuk	Zakho	63	Chronic	Food	37.1417701,42.6873265	School	780	no	1157
NRC	Dahuk	Zakho	61	Chronic	Food	37.161456,42.6741698	School	1500	no	52
NRC	Erbil	Erbil	70	Flu	Food	36.23458134,43.99349728	Other	850	no	200
NRC	Dahuk	Zakho	57	Chronic	Food	36.97366969,42.65526225	None Open Air	420	no	30
NRC	Dahuk	Zakho	56	Chronic	Food	37.08550042,42.42239219	None Open Air	2700	no	838
ACTED	Dahuk	Dahuk	60	Chronic	Food	36.8704527,42.9907506	School	115	no	367
ACTED	Dahuk	Zakho	59	Chronic	Food	36.8704531,42.9907508	School	260	no	52
ACTED	Dahuk	Dahuk	45	Chronic	Food	36.870178,42.99110206	Other	480	no	743
ACTED	Dahuk	Zakho	60	Chronic	Food	36.87019128,42.99120457	School	254	no	220
ACTED	Dahuk	Sumel	70	Chronic	Food	36.87012947,42.99110164	Other	1750	no	197
ACTED	Dahuk	Sumel	60	Chronic	Food	36.87023638,42.99141211	Other	300	no	56
ACTED	Dahuk	Sumel	60	Other	Food	36.87028466,42.99104095	Other	4050	no	664
ACTED	Dahuk	Dahuk	45	Chronic	Food	36.87015998,42.99108412	Other	775	Unknown	22
ACTED	Dahuk	Dahuk	65	Flu	Food	36.87027431,42.99110139	Other	101	no	38
ACTED	Dahuk	Dahuk	60	Chronic	Food	36.87040804,42.99098714	School	775	no	36
